district_id,subcounty_id,parish_id,year,subcounty,parish,school_name,ownership,divi_male,divi_female,divi_total,divii_male,divii_female,divii_total,diviii_male,diviii_female,diviii_total,diviv_male,diviv_female,diviv_total,divu_male,divu_female,divu_total,divx_male,divx_female,divx_total,total
d102,s107,p131,2020,Kangulumira,Seeta-Nyiize,Nyiize COU Primary School,Government,3,5,8,19,17,36,3,5,8,5,5,6,0,0,0,4,1,5,63
d102,s107,p131,2020,Kangulumira,Seeta-Nyiize,Nyiize RC Primary School,Government,0,0,0,6,5,11,4,4,8,8,7,12,8,4,12,1,0,1,44
d102,s107,p131,2020,Kangulumira,Seeta-Nyiize,St. Marys Child Empowerment,Private,0,0,0,5,3,8,2,1,3,1,1,1,1,2,3,0,0,0,15
d102,s103,p151,2020,Kayonza,Kamusabi,Bugato RC Primary School,Government,1,0,1,9,4,13,10,3,13,3,3,6,4,4,8,0,0,0,41
d102,s103,p153,2020,Kayonza,Kitwe,Bugoma Primary School,Government,0,0,0,0,0,0,0,0,0,3,2,5,4,1,5,3,3,6,16
d102,s103,p157,2020,Kayonza,Namizo,Bujwaaya CU Primary School,Government,0,0,0,1,2,3,1,1,2,3,3,6,4,6,10,0,0,0,21
d102,s103,p149,2020,kayonza,Balisanga,Bwalala Primary School,Government,0,0,0,13,7,20,1,0,1,0,1,1,0,0,0,0,1,1,23
d102,s103,p151,2020,Kayonza,Kamusabi,Kamusabi Primary School,Government,0,0,0,1,1,2,1,1,2,5,4,9,2,4,6,0,1,1,20
d102,s103,p156,2020,Kayonza,Namaliri,Kawolokota COU Primary School,Government,0,0,0,4,2,6,10,6,16,10,8,18,11,5,16,1,2,3,59
d102,s103,p156,2020,Kayonza,Namaliri,Kawolokota RC Primary School,Government,0,0,0,9,7,16,5,9,14,7,10,17,3,22,25,0,4,4,76
d102,s103,p156,2020,Kayonza,Namaliri,Kayonza Primary School,Government,,,0,,,0,,,0,,,0,,,0,,,0,0
d102,s103,p155,2020,Kayonza,Nakyesanja,Kirimantoogo Primary School,Government,0,0,0,1,0,1,3,1,4,9,2,11,9,6,15,1,1,2,33
d102,s103,p153,2020,Kayonza,Kitwe,Kitwe RC Primary School,Government,,,0,,,0,,,0,,,0,,,0,,,0,0
d102,s103,p157,2020,Kayonza,Namizo,Kyebuye RC Primary School,Private,0,0,0,3,2,5,4,3,7,7,8,15,3,3,6,0,4,4,37
d102,s103,p156,2020,Kayonza,Namaliri,Lugasa Primary School,Private,1,0,1,9,7,16,5,4,9,4,2,6,0,1,1,0,0,0,33
d102,s103,p151,2020,Kayonza,Kamusabi,Lukonda Public Primary School,Government,0,0,0,1,0,1,2,2,4,1,1,2,4,5,9,0,1,1,17
d102,s103,p152,2020,Kayonza,Kanywero,Lwabyata Parents Primary School,Government,0,0,0,4,3,7,5,3,8,4,3,7,8,7,15,1,0,1,38
d102,s103,p154,2020,Kayonza,Nakyesa,Nakyessa Bright Primary School,Government,1,0,1,13,10,23,7,8,15,3,6,9,2,3,5,1,0,1,54
d102,s103,p154,2020,Kayonza,Nakyesa,Nakyessa Day And Boarding Primary School,Private,0,0,0,4,8,12,3,2,5,4,4,8,0,0,0,0,1,1,26
d102,s103,p154,2020,Kayonza,Nakyesa,Nakyessa Moslem Primary School,Government,0,0,0,5,3,8,6,3,9,15,16,31,7,18,25,0,2,2,75
d102,s103,p154,2020,Kayonza,Nakyesa,Namatogonya COU Primary School,Government,0,0,0,0,0,0,1,0,1,7,3,10,6,13,19,0,2,2,32
d102,s103,p157,2020,Kayonza,Namizo,Namavundu RC Primary School,Private,0,0,,2,0,2,2,8,10,4,8,12,3,7,10,0,0,0,34
d102,s103,p157,2020,Kayonza,Namizo,Namiizo UMEA Primary School,Government,0,0,,3,0,3,3,8,11,1,3,4,3,5,8,0,1,1,27
d102,s103,p150,2020,Kayonza,Kafumba,Nyondo RC Primary School, Government,0,0,,0,0,0,2,3,5,6,2,8,3,0,3,0,0,0,16
d102,s103,p156,2020,Kayonza,Namaliri,St. Jude Kayonza RC Primary School,Government,0,0,,4,2,6,1,1,2,3,2,5,5,3,8,0,0,0,21
d102,s103,p152,2020,Kayonza,Kanywero,Wabunyonyi COU Primary School ,Government,0,1,,3,4,7,6,4,10,5,3,8,15,5,20,0,0,0,45
d102,s103,p152,2020,Kayonza,Kanywero,Wunga CU Primary School,Government,0,0,,0,3,3,2,9,11,5,5,10,3,26,29,1,3,4,57
d102,s108,p107,2020,Kayunga,Bukujju,Bukujju UMEA Primary School,Government,0,0,0,2,2,4,2,0,2,4,4,8,8,7,15,2,2,4,33
d102,s108,p103,2020,Kayunga,Bukolooto,St. Anthony G. Junior School,Private,,,0,,,0,,,0,,,0,,,0,,,0,0
d102,s108,p103,2020,Kayunga,Bukolooto,Lion of Judah Primary School,Private,,,0,,,0,,,0,,,0,,,0,,,0,0
d102,s108,p102,2020,Kayunga ,Busaale,Ssekagya Islamic Primary School,Government,11,10,21,22,19,41,4,4,8,4,4,8,1,2,3,2,0,2,83
d102,s108,p103,2020,Kayunga,Bukolooto,Ssezibwa COU Primary School,Government,1,0,1,6,2,8,3,4,7,2,3,5,0,0,0,5,5,10,31
d102,s108,p102,2020,Kayunga ,Busaale,Busaale COU Primary School,Government,2,0,2,2,5,7,6,4,10,6,4,10,1,11,12,0,1,1,42
d102,s108,p106,2020,Kayunga ,Nsotoka,Obadiah Sajjabi Community School,Private,0,0,0,20,12,32,6,4,10,10,7,17,13,8,21,3,2,5,85
d102,s108,p105,2020,Kayunga ,Buyobe,Buwungiro Primary School,Government,0,0,0,1,0,1,4,2,6,0,0,0,9,11,20,0,0,0,27
d102,s108,p103,2020,Kayunga,Bukolooto,Bwetyaba RC Primary School,Government,1,2,3,22,23,45,0,2,2,1,0,1,0,0,0,0,0,0,51
d102,s108,p105,2020,Kayunga ,Buyobe,Kanjuki COU Primary School,Government,0,0,0,18,12,30,9,9,18,5,4,9,2,2,4,1,0,1,62
d102,s108,p105,2020,Kayunga ,Buyobe,Kanjuki RC Primary School,Government,0,0,0,2,0,2,2,2,4,4,3,7,7,8,15,1,1,2,30
d102,s108,p105,2020,Kayunga ,Buyobe,Kanjuki UMEA Primary School,Government,0,0,0,10,21,31,1,6,7,1,0,1,1,0,1,0,0,0,40
d102,s108,p106,2020,Kayunga ,Nsotoka,Nsotoka Islamic Primary School,Private,0,1,1,7,7,14,6,4,10,3,2,5,1,2,3,0,1,1,34
d102,s108,p106,2020,Kayunga ,Nsotoka,Kiwooza COU Primary School,Government,0,0,0,4,4,8,8,6,14,4,3,7,3,4,7,1,0,1,37
d102,s108,p106,2020,Kayunga ,Nsotoka,Mataba Muslim Quran School,Private,1,0,1,20,19,39,4,2,6,5,5,10,0,0,0,0,1,1,57
d102,s108,p105,2020,Kayunga ,Buyobe,Kyanya COU Primary School,Government,0,0,0,1,2,3,1,1,2,1,3,4,6,4,10,1,0,1,20
d102,s108,p101,2020,Kayunga ,Bubajjwe,Mugema Primary School, Government,0,0,0,20,14,34,2,11,13,10,17,27,0,0,0,3,9,12,86
d102,s108,p104,2020,Kayunga ,Nakaseeta,Nakaziba COU Primary School, Government,0,0,0,4,0,4,7,2,9,1,7,,2,0,2,0,0,0,15
d102,s108,p106,2020,Kayunga ,Nsotoka,Namulanda COU Primary School,Government,0,0,0,5,1,6,3,2,,4,2,,5,4,9,0,0,0,15
d102,s108,p106,2020,Kayunga ,Nsotoka,Namulanda RC Primary School,Government,0,0,0,1,0,1,4,0,,12,5,,3,2,5,0,2,2,8
d102,s108,p103,2020,Kayunga,Bukolooto,Nawandagala RC Primary School,Government,0,0,0,4,2,6,5,3,,3,2,,5,4,,0,1,1,7
d102,s109,p145,2020,Kayunga tc,Bukoloto ward,Star Academy Primary School,Private,1,1,2,13,10,23,2,0,2,2,2,4,0,1,1,2,0,2,34
d102,s109,p145,2020,Kayunga tc,Bukoloto ward,Aunty Vicky Primary School,Private,0,0,0,12,12,24,4,3,7,8,2,10,6,6,12,0,0,0,53
d102,s109,p148,2020,Kayunga tc,Namagabi ward,Ndeeba COU Primary School,Government,2,2,4,19,34,53,5,8,13,2,2,4,0,0,0,1,1,2,76
d102,s109,p148,2020,Kayunga tc,Namagabi ward,Namagabi UMEA Primary School,Government,3,3,6,31,21,52,10,12,22,3,9,12,1,2,3,1,0,1,96
d102,s109,p148,2020,Kayunga tc,Namagabi ward,Namagabi Bishop Brown Primary School,Government,0,1,1,10,19,29,0,3,3,1,0,1,0,0,0,1,1,2,36
d102,s109,p148,2020,Kayunga tc,Namagabi ward,Kayunga Mixed Primary School,Government,0,1,1,10,14,24,2,1,3,1,1,2,1,0,1,0,0,0,31
d102,s109,p148,2020,Kayunga tc,Namagabi ward,Kayunga Girls Primary School,Government,,,0,,,0,,,0,,,0,,,0,,,0,0
d102,s109,p148,2020,Kayunga tc,Namagabi ward,Gospel Valley Primary School,Private,9,9,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19
d102,s109,p146,2020,Kayunga tc,Ntenjeru ward,Tente Primary School,Government,15,7,22,20,24,44,4,4,8,4,3,7,0,1,1,1,0,1,83
d102,s109,p146,2020,Kayunga tc,Ntenjeru ward,St. Regina Primary School ,Private,11,13,24,8,8,16,0,0,0,0,0,0,0,0,0,0,0,0,40
d102,s109,p147,2020,Kayunga tc,Central ward,Hope Primary School,Private,9,7,16,12,10,22,0,0,0,0,0,0,0,0,0,1,2,3,41
d102,s104,p144,2020,Kitimbwa,Nakivubo,Bisaka CU  Primary School,Government,0,0,0,2,1,3,8,6,14,1,2,3,6,7,13,0,0,0,33
d102,s104,p143,2020,Kitimbwa,Nkokonjeru,Bulawula Primary School,Government,1,0,1,2,0,2,4,4,8,3,2,5,7,8,15,1,2,3,34
d102,s104,p139,2020,Kitimbwa,Kitatya,Kitatya CU  Primary School,Government,2,1,3,20,13,33,9,9,18,12,8,20,13,10,23,3,4,7,104
d102,s104,p139,2020,Kitimbwa,Kitatya,Kitatya RC Primary School,Government,0,0,0,15,13,28,14,13,27,5,2,7,4,2,6,0,0,0,68
d102,s113,p170,2020,Kitimbwa tc,Wabuyinja ward,Kitimbwa CU Primary School,Government,0,0,0,1,1,2,3,5,8,5,5,10,10,17,27,0,2,2,49
d102,s113,p170,2020,Kitimbwa tc,Wabuyinja ward,Kitimbwa Light SDA Primary School,Government,0,1,1,15,21,36,4,7,11,4,2,6,0,1,1,0,1,1,56
d102,s113,p170,2020,Kitimbwa tc,Wabuyinja ward,Kitimbwa RC Primary School ,Government,0,0,0,11,10,21,12,13,25,7,2,9,2,4,6,0,0,0,61
d102,s113,p170,2020,Kitimbwa tc,Wabuyinja ward,Kitimbwa UMEA Primary School,Government,0,0,0,0,1,1,2,4,6,1,4,5,2,6,8,1,0,1,21
d102,s104,p142,2020,Kitimbwa,Kyerima,Kyerima UMEA Primary School,Government,0,0,0,6,6,12,7,6,13,4,2,6,3,5,8,1,2,3,42
d102,s113,p170,2020,Kitimbwa tc,Wabuyinja ward,Kyetume High Primary School,Government,1,0,1,5,4,9,8,6,14,6,8,14,15,13,28,1,2,3,69
d102,s104,p142,2020,Kitimbwa,Kyerima,Nakaseeta COU Primary School,Government,0,0,0,0,0,0,1,1,2,1,1,2,6,4,10,0,1,1,15
d102,s104,p144,2020,Kitimbwa,Nakivubo,Nakivubo COU Primary School,Government,0,0,0,4,4,8,6,5,11,4,10,14,25,26,51,7,5,12,96
d102,s104,p144,2020,Kitimbwa,Nakivubo,Nakivubo UMEA Primary School,Government,,,0,,,0,,,0,,,0,,,0,,,0,0
d102,s104,p142,2020,Kitimbwa,Kyerima,Namabbuga RC Primary School,Government,0,0,0,2,1,3,3,1,4,3,0,3,8,6,14,0,5,5,29
d102,s104,p140,2020,Kitimbwa,Namulaba,Namulaba COU Primary School, Government,0,0,0,2,1,3,3,1,4,3,0,3,8,6,14,0,5,5,29
d102,s104,p140,2020,Kitimbwa,Namulaba,Namulaba UMEA Primary School, Government,0,0,0,8,7,15,7,5,12,3,2,5,0,0,0,0,9,9,41
d102,s113,p170,2020,Kitimbwa tc,Wabuyinja ward,Kyetume Kabaganda Primary School,Government,0,0,0,7,9,16,3,8,11,3,4,7,2,8,10,0,1,1,45
d102,s104,p142,2020,Kitimbwa,Kyerima,Nanjwenge CU Primary School,Private,0,0,0,1,0,1,1,1,2,2,2,4,7,5,12,0,1,1,20
d102,s104,p142,2020,Kitimbwa,Kyerima,Mt. Carmel Primary School,Private,2,1,3,23,20,43,20,16,36,6,5,11,10,15,25,2,2,4,122
d102,s104,p140,2020,Kitimbwa,Namulaba,Nongo CU Primary School Kitimbwa, Government,0,0,0,1,0,1,0,2,2,1,3,4,4,4,8,0,1,1,16
d102,s104,p140,2020,Kitimbwa,Namulaba,St. Martins Nongo RC Primary School, Government,,,0,,,0,,,0,,,0,,,0,,,0,0
d102,s104,p141,2020,Kitimbwa,Wabwoko,Wabwoko CU Primary School,Government,5,4,9,6,5,11,4,2,6,7,5,12,21,17,38,1,3,4,80
d102,s104,p142,2020,Kitimbwa,Kyerima,Kyerima CU Primary School,Government,1,2,3,15,10,25,10,12,22,5,8,13,3,8,11,0,2,2,76
d102,s106,p132,2020,Nazigo,Bukamba,Bukamba Noor islamic Primary School,Private,,,0,,,0,,,0,,,0,,,0,,,0,0
d102,s106,p132,2020,Nazigo,Bukamba,Bukamba Primary School,Government,0,0,0,4,3,7,4,5,9,13,7,20,0,0,0,9,23,32,68
d102,s106,p133,2020,Nazigo,Kirindi,Kikonyogo Primary School,Government,0,0,0,2,2,4,3,3,6,3,2,5,3,1,4,0,0,0,19
d102,s106,p137,2020,Nazigo,Kimanya,Kimanya COU Primary School,Government,0,0,0,6,6,12,2,11,13,3,10,13,1,7,8,0,0,0,46
d102,s106,p136,2020,Nazigo,Nateeta,Kiribedda CU Primary School,Government,0,0,0,0,0,0,2,1,3,4,3,7,4,2,6,0,0,0,16
d102,s106,p132,2020,Nazigo,Bukamba,Kisa Primary School,Private,0,0,0,10,9,19,11,11,22,3,2,5,2,5,7,0,0,0,53
d102,s106,p132,2020,Nazigo,Bukamba,Kiswa RC Primary School,Government,0,0,0,4,4,8,5,4,9,4,5,9,8,9,17,0,1,1,44
d102,s106,p137,2020,Nazigo,Kimanya,Kiziika  CU Primary School,Government,2,0,2,10,6,16,6,7,13,4,4,8,6,5,11,1,1,2,52
d102,s106,p134,2020,Nazigo,Nsiima,Kotwe Taqwa Islamic Primary School,Private,20,13,33,40,22,62,2,1,3,1,1,2,0,0,0,0,2,2,102
d102,s106,p138,2020,Nazigo,Nazigo,Kyampisi COU Primary School,Government,1,0,1,6,13,19,11,7,18,0,0,0,0,0,0,0,0,0,38
d102,s106,p138,2020,Nazigo,Nazigo,Magala RC Primary School,Government,0,1,1,10,6,16,3,7,10,7,5,12,5,13,18,0,0,0,57
d102,s106,p134,2020,Nazigo,Nsiima,Musiitwa UMEA Primary School,Government,1,2,3,17,27,44,10,16,26,3,9,12,1,5,6,1,2,3,94
d102,s106,p135,2020,Nazigo,Katikanyonyi,Nakatooke RC Primary School,Government,0,0,0,0,2,2,3,2,5,3,3,6,6,5,11,0,1,1,25
d102,s106,p136,2020,Nazigo,Nateeta,Natteta CU Primary School, Government,0,0,0,2,3,5,7,2,9,6,5,11,4,18,22,0,0,0,47
d102,s106,p136,2020,Nazigo,Nateeta,Natteta UMEA Primary School,Private,1,0,1,4,8,12,6,7,13,2,0,2,0,0,0,0,1,1,29
d102,s106,p138,2020,Nazigo,Nazigo,Nazigo Demonstration Primary School,Government,0,0,0,10,7,17,4,3,7,3,1,4,6,5,11,2,2,4,43
d102,s106,p138,2020,Nazigo,Nazigo,Nazigo Noor Islamic Primary School,Private,,,0,,,0,,,0,,,0,,,0,,,0,0
d102,s106,p134,2020,Nazigo,Nsiima,Nazigo RC Primary School,Government,1,0,1,50,32,82,16,16,32,10,8,18,1,3,4,0,0,0,137
d102,s106,p134,2020,Nazigo,Nsiima,Nsiima COU Primary School,Government,0,0,0,2,1,3,4,2,6,2,2,4,8,6,14,1,1,2,29
d102,s106,p136,2020,Nazigo,Nateeta,St. Anthony Junior School Nazigo,Private,0,0,0,6,5,11,10,6,16,5,3,8,4,6,10,0,0,0,45
d102,s106,p136,2020,Nazigo,Nateeta,Wabirongo CU Primary School, Government,1,1,2,9,7,16,5,4,9,1,1,2,3,2,5,0,1,1,35
d102,s102,p109,2019,Bbaale,Bbaale,Bbaale CU  Primary School,Government,2,1,3,10,28,38,11,14,25,10,10,20,1,1,2,1,0,1,89
d102,s102,p111,2019,Bbaale,Kavule,Gayaza  CU  Primary School,Government,0,0,0,12,11,23,10,7,17,6,6,12,4,3,7,2,0,2,61
d102,s102,p110,2019,Bbaale,Misanga,Misanga COU Primary School,Government,0,0,0,0,1,1,1,0,1,2,0,2,5,7,12,1,1,2,18
d102,s102,p112,2019,Bbaale,Mugongo,Mugongo Primary School,Government,0,0,0,0,1,1,0,2,2,5,4,9,5,5,10,0,1,1,23
d102,s102,p111,2019,Bbaale,Kavule,Namataala Primary School,Government,0,0,0,5,5,10,6,6,12,10,7,17,10,4,14,1,1,2,55
d102,s110,p158,2019,Busaana tc,Kasana ward,Busaana  Parents Primary School,Private,5,6,11,15,24,39,1,2,3,0,0,0,0,0,0,0,0,0,53
d102,s105,p115,2019,Busaana,Kasana,Bugaddu CU Primary School,Government,2,3,5,20,28,48,11,9,20,7,5,12,10,7,17,1,1,2,104
d102,s105,p118,2019,Busaana,Kiwangula,St. Josephs Buyungirizi RC Primary School,Government,0,0,0,1,2,3,5,2,7,2,0,2,0,1,1,1,1,2,15
d102,s105,p115,2019,Busaana,Kasana,Busaana CU Primary School,Government,3,1,4,20,33,53,12,14,26,20,14,34,6,6,12,1,1,2,131
d102,s105,p115,2019,Busaana,Kasana,Busaana RC Primary School,Government,0,0,0,5,0,5,7,5,12,5,4,9,3,6,9,0,0,0,35
d102,s110,p158,2019,Busaana tc,Kasana ward,Noble Hill Primary School,Private,0,0,0,15,18,33,10,16,26,5,4,9,6,6,12,0,0,0,80
d102,s105,p115,2019,Busaana,Kasana,Kasana Church Of Uganda Primary School,Government,5,2,7,2,2,4,3,2,5,4,6,10,7,8,15,0,0,0,41
d102,s105,p115,2019,Busaana,Kasana,Kasana RC Primary School,Government,4,3,7,26,20,46,9,9,18,6,4,10,7,8,15,1,1,2,98
d102,s105,p121,2019,Busaana,Lusenke,Kibuzi Church Of Uganda Primary School,Government,0,0,0,3,3,6,10,8,18,5,4,9,2,1,3,0,0,0,36
d102,s105,p121,2019,Busaana,Lusenke,Kibuzi RC Primary School,Government,0,0,0,1,0,1,2,1,3,2,3,5,5,4,9,0,0,0,18
d102,s105,p122,2019,Busaana,Nampanyi,Kireku COU Primary School,Government,1,0,1,20,19,39,5,3,8,1,1,2,2,0,2,0,0,0,52
d102,s105,p118,2019,Busaana,Kiwangula,Kiwangula COU Primary School,Government,0,0,0,2,5,7,7,8,15,1,2,3,3,1,4,2,0,2,31
