subcounty,parish,year,school_name,ownership,divi_male,divi_female,divi_total,divii_male,divii_female,divii_total,diviii_male,diviii_female,diviii_total,diviv_male,diviv_female,diviv_total,divu_male,divu_female,divu_total,divx_male,divx_female,divx_total,absentees,total_registered,total_sat,best_aggregates
Nyantonzi,Nyantonzi,2018,Nyantonzi Primary School,Government,0,0,0,10,5,15,5,2,7,2,1,3,0,0,0,1,0,1,,,26,
Budongo,Nyabyeya,2018,Karongo Primary School,Government,0,0,0,20,5,25,9,7,16,2,3,5,0,1,1,0,0,0,,,47,
Nyantonzi,Nyantonzi,2018,Siiba Primary School,Government,0,0,0,5,5,10,4,4,8,1,0,1,1,0,1,0,0,0,,,20,
Bwijanga,Ntoma,2018,Kihagani Primary School,Government,1,0,1,13,11,24,1,2,3,3,4,7,0,0,0,0,3,3,,,38,
Pakanyi,Kyakamese,2018,Alimugonza Primary School,Government,0,0,0,12,6,18,6,4,10,2,2,4,2,0,2,0,0,0,,,34,
Pakanyi,,2018,St. Kizito Kyatiri Primary School,Government,0,0,0,2,2,4,0,1,1,0,2,2,0,0,0,0,0,0,,,7,
Pakanyi,,2018,Victory Primary School,Private,0,0,0,3,1,4,5,1,6,1,0,1,0,0,0,0,0,0,,,11,
Bwijanga,Kitamba,2018,Kitamba Primary School,Government,0,0,0,2,6,8,1,3,4,1,1,2,0,0,0,0,1,1,,,15,
Labongo,Labongo,2018,Kilanyi Primary School,Government,0,0,0,9,2,11,6,2,8,3,0,3,0,0,0,0,1,1,,,23,
Pakanyi,Kyakamese,2018,Waiga Primary School,Government,0,0,0,8,3,11,9,8,17,2,1,3,0,0,0,0,0,0,,,31,
,,2018,Universe Primary School,,0,0,0,6,6,12,2,5,7,0,4,4,0,0,0,1,0,1,,,24,
,,2018,Rusangura Primary School,,0,0,0,1,3,4,1,1,2,1,1,2,0,0,0,0,0,0,,,8,
,,2018,Trinity Primary School,,0,0,0,8,5,13,1,4,5,2,3,5,0,1,1,0,0,0,,,24,
Miirya,Isimba,2018,Kyabaswa Primary School,Government,0,0,0,3,7,10,3,1,4,1,1,2,0,0,0,1,1,2,,,18,
Nyantonzi,Kimanya,2018,Kimanya Primary School,Government,0,0,0,6,1,7,6,4,10,2,1,3,0,0,0,0,0,0,,,20,
Kiruli,Kiruli,2018,Kitanyata Primary School,Government,0,0,0,10,8,18,8,13,21,0,5,5,0,1,1,0,1,1,,,46,
Kimengo,,2018,Parent's Heart Primary School,Private,0,1,1,5,4,9,0,4,4,0,0,0,0,0,0,3,1,4,,,18,
Bulima Town Counci,Kahembe ward,2018,Kisalizi Primary School,Government,0,0,0,9,8,17,7,4,11,5,2,7,0,2,2,0,0,0,,,37,
Nyantonzi,Kasenene,2018,Kasenene Primary School,Government,1,0,1,4,4,8,4,4,8,2,1,3,1,0,1,1,0,1,,,22,
Labongo,Kihaguzi,2018,Kibamba Primary School,Government,0,0,0,11,1,12,8,5,13,2,2,4,1,0,1,0,1,1,,,31,
Bulima Town Counci,Kahembe ward,2018,Marongo Primary School,Government,0,0,0,6,2,8,5,3,8,1,1,2,1,1,2,0,0,0,,,20,
Labongo,Labongo,2018,Nyakyanika Primary School,Government,0,0,0,6,6,12,5,6,11,2,3,5,0,0,0,0,2,2,,,30,
Kiruli,Kiruli,2018,Kiyuya Primary School,Government,0,0,0,11,3,14,8,0,8,2,3,5,2,0,2,0,1,1,,,30,
Bwijanga,Kitamba,2018,Isimba Primary School,Government,0,0,0,3,6,9,5,1,6,3,3,6,0,0,0,0,1,1,,,22,
Budongo,Kasongoire,2018,Bulyango Public Primary School,Government,1,0,1,8,3,11,7,8,15,8,1,9,0,1,1,1,0,1,,,38,
Miirya,Kigulya,2018,Kigezi Primary School,Government,0,0,0,4,4,8,6,2,8,1,3,4,0,1,1,0,1,1,,,22,
Kiruli,Kiruli,2018,Nyakarongo Primary School,Government,0,0,0,10,4,14,6,10,16,3,5,8,0,3,3,0,0,0,,,41,
Kiruli,Kiruli,2018,Murro Primary School,Government,0,0,0,2,5,7,0,6,6,1,3,4,0,2,2,0,0,0,,,19,
Bwijanga,,2018,Alinda Primary School,Private,0,0,0,2,5,7,1,2,3,1,1,2,2,1,3,0,0,0,,,15,
Bikonzi,Kikube,2018,Kikuube Primary School,Government,0,0,0,6,0,6,5,8,13,2,4,6,0,0,0,0,1,1,,,26,
Miirya,Kigulya,2018,Kijogoro Primary School,Government,0,0,0,1,4,5,14,5,19,4,2,6,0,1,1,0,0,0,,,31,
Bikonzi,Rukondwa,2018,Rukondwa Primary School,Government,0,0,0,3,2,5,1,7,8,4,1,5,0,0,0,1,0,1,,,19,
Bwijanga,Kitamba,2018,New Star Parents Primary School,Private,1,0,1,7,11,18,6,12,18,3,7,10,0,7,7,0,1,1,,,55,
Miirya,Kigulya,2018,Kitwetwe Primary School,Government,0,0,0,7,5,12,4,2,6,3,0,3,0,4,4,0,2,2,,,27,
Bikonzi,,2018,Kihoole Primary School,Government,0,0,0,2,1,3,8,8,16,0,4,4,0,2,2,0,0,0,,,25,
,,2018,Bizige Primary School,,0,0,0,0,4,4,0,2,2,2,0,2,0,0,0,0,2,2,,,10,
Budongo,,2018,Fountain of Development Primary School,,0,0,0,2,1,3,1,0,1,2,3,5,0,0,0,0,0,0,,,9,
Miirya,Bigando,2018,Kibbali Primary School,Government,1,0,1,6,5,11,5,5,10,2,8,10,3,2,5,2,0,2,,,39,
Kimengo,,2018,Kimengo Primary School,Government,0,0,0,7,7,14,6,6,12,2,11,13,0,4,4,3,0,3,,,46,
Pakanyi,Kyakamese,2018,Kisindizi Public Primary School,Government,0,0,0,4,1,5,3,3,6,2,3,5,1,2,3,0,0,0,,,19,
Budongo,,2018,Kababito Primary School,Private,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,,,3,
Budongo,Nyabyeya,2018,Budongo Saw Mill Primary School,Government,0,0,0,4,0,4,5,3,8,5,0,5,2,1,3,0,0,0,,,20,
Bwijanga,Kitamba,2018,Byerima Primary School,Government,0,0,0,2,2,4,5,3,8,3,4,7,1,2,3,0,0,0,,,22,
Bwijanga,Kitamba,2018,Mihembero Primary School,Government,0,0,0,3,4,7,6,2,8,3,4,7,1,4,5,0,1,1,,,28,
Pakanyi,Kyakamese,2018,St. Paul Memorial Alimugonza Primary School,Private,0,0,0,2,4,6,2,5,7,2,2,4,1,1,2,2,2,4,,,23,
Pakanyi,Kyakamese,2018,Karungi Primary School,Government,0,0,0,3,4,7,5,5,10,8,6,14,1,1,2,0,3,3,,,36,
Bikonzi,,2018,Ikoba Girls Primary School,Government,0,0,0,0,4,4,0,8,8,0,9,9,0,4,4,0,0,0,,,25,
Bwijanga,Kahembe,2018,St. Kizito Murro Primary School,Government,0,0,0,3,2,5,3,0,3,0,7,7,0,3,3,1,0,1,,,19,
Bikonzi,,2018,Kinywamurara Primary School,Government,0,0,0,4,3,7,1,2,3,4,4,8,3,4,7,0,0,0,,,25,
Nyantonzi,Nyantonzi,2018,Kimanya Upper Primary School,Government,0,0,0,2,2,4,3,0,3,5,2,7,3,1,4,0,0,0,,,18,
Bikonzi,,2018,Ikoba Boys Primary School,Government,0,0,0,4,0,4,3,0,3,1,0,1,7,0,7,0,0,0,,,15,
Kiruli,Kibibira,2018,Kibibira Primary School,Government,0,0,0,2,0,2,4,2,6,5,1,6,2,3,5,0,0,0,,,19,
Kyatiri Town Counci,,2018,Nyakatoogo Primary School,Government,0,0,0,1,0,1,5,2,7,4,4,8,2,1,3,0,1,1,,,20,
Bikonzi,,2018,Masindi Centre for the Handicapped,Government,0,0,0,0,0,0,1,2,3,2,5,7,0,0,0,1,0,1,,,11,
Bwijanga,,2018,Bwijanga Primary School,,0,0,0,1,0,1,0,2,2,0,1,1,1,2,3,0,1,1,,,8,
Nyantonzi,Nyantonzi,2018,Rwempisi Primary School,Government,0,0,0,1,0,1,3,1,4,2,2,4,3,5,8,1,1,2,,,19,
